Composition,Ctemp
Co1Lu3,2
Co3Lu4,2
Co2Lu1,2
Co3Lu1,362
Co17Lu2,1192
Co1Y3,2
Co3Y4,6
Co2Y1,291
Co3Y1,301
Co17Y2,1167
Mn23Sm6,450
Ni1Sm1,45
Ni2Sm1,22
Ni3Sm1,85
Ni5Sm1,26
Ni17Sm2,413.5
Os2Sm1,34.5
Pt2Sm1,6
Rh2Sm1,20
Sm1Zn1,125
Mn2O4Sn1,53
Sn97Te100,0.2
Ca1Fe5Mo5O30Sr9,413
Fe1Mo1O6Sr2,425
Fe12O19Sr1,750
La7Mn10O30Sr3,363
La75Mn150O499Sr125,130
O3Ru1Sr1,160
O6Pb1Ru2Sr1,0
B4Mn2Ta1,780
Tb1,219
Al2Tb1,111
Al2Tb3,190
C1Tb2,266
Cd5Tb6,185
Co2Tb1,235
Co3Tb1,506
Co5Tb1,980
Co7Tb2,718.5
Co17Tb2,1187
Cr1O7Sb1Tb2,15
Cu1Tb1,80
Fe2Tb1,697.5
Fe3Tb1,648
Fe17Tb2,409
Fe23Tb6,560.5
Fe5O12Tb3,554.2
Ga1Tb1,158
Ir2Tb1,45.5
Mn5Tb1,445
N1Tb1,40
Ni1Tb1,50
Ni2Tb1,40
Ni3Tb1,98
Ni5Tb1,23
Ni7Tb2,101
Ni17Tb2,396.5
Al1Ni39Tb20,53
Al9Ni191Tb100,56
Al8Ni2Tb5,59
Al179Ni21Tb100,84
Al48Ni2Tb25,118
Al101Ni101Tb100,47
H3O3Tb1,3.71
Os2Tb1,33.5
Pd19Tb51,30
Pt2Tb1,10.6
Rh2Tb1,40
Si4Tb5,225
Fe10Tb1Y4,579
Fe10Tb2Y3,620
Fe20Tb9Y1,685
Tb1Zn1,204
Co5Th1,550
Co3Fe2Th1,690
Cr2Te4Ti1,214
Fe2Ti1,373.5
F3Fe1Tl1,77
Fe24La1O38Tl1,703
F3Ni1Tl1,139.5
Tm1,32
Al2Tm1,3.9
Au4Tm1,2
Co2Tm1,18
Co3Tm1,370
Co5Tm1,1020
Co17Tm2,1183.5
Cr1O7Sb1Tm2,6
Fe2Tm1,565
Fe3Tm1,540.5
Fe17Tm2,265.5
Fe23Tm6,477.5
Fe5O12Tm3,549
Ir2Tm1,1
Lu11Tm39,11
Mn2Tm1,12
Ni1Tm1,5.5
Ni2Tm1,14
Ni3Tm1,43
Ni5Tm1,5
Ni17Tm2,377.5
Ni1Tm3,12
As4U3,197.5
Bi4U3,108
Fe2U1,165.25
Fe1O4U1,44.5
Ga2U1,125
Ge2U1,52
Ge4U3,92.5
H3U1,171
N3U2,210.5
P1U1,125
P4U3,138.15
P3S1U4,100
P18S7U25,109
P67S33U100,118
P1S1U2,150
Pt23U27,29.8
S1U1,179.8
Sb4U3,148.5
Se1U1,171
Se2U1,13.1
Se3U2,180
Se4U3,160
Te1U1,104
Te3U2,122
Te4U3,87.5
P80Th3U57,141
B1O3V1,32.5
O5S1V1,4.1
B4Mn2W1,560
Al1Fe4O12Y3,430
Al4Bi1Fe16O48Y11,430
Bi29Fe250O600Y121,577
Bi1Fe5O12Y2,591
Fe5O12Y3,552
Fe23In2O60Y15,444
Fe9In1O24Y6,448.5
Ca2Fe8In1O24V1Y4,415
Fe22In3O60Y15,397
Fe43In7O120Y30,377
Co5Y1,975
Co7Y2,639
Cr1O7Sb1Y2,15
Fe2Y1,543.5
Fe17Y2,324
Fe23Y6,484
Al1Fe9O30Y10,595
Al1Fe4O15Y5,496
Al2Fe3O15Y5,332
Al3Fe14Mn3O60Y20,440
Al1Fe8Mn1O30Y10,512
Fe3Mn2O15Y5,375
Fe4Mn1O15Y5,535
Fe9Mn1O30Y10,592
Fe1O3Y1,643
Fe4Ga1O12Y3,454
Fe79Ga46O300Y75,226.9
Gd16Se29Y5,47
Fe243In7O600Y150,525
Fe10La1O24Y5,556.5
Mn5Y1,488
Mn23Y6,486
Fe1Mn1Y1,180
Fe207Mn23Y60,380
Fe5Nd2O12Y1,557
Ni3Y1,33
Ni7Y2,57
Ni17Y2,385
Cu2Ni15Y2,470
Cu4Ni13Y2,180
Cu5Ni29Y4,465
Fe5O12Pr1Y2,553
Fe41O120Sc9Y30,320
Co5Yb1,973
Cr1O7Sb1Yb2,10
Fe5O12Yb3,548
Ni3Yb1,20
Ni5Yb1,0.95
Ba10Bi1Fe60O110Zn10,360
Ba1Fe6O11Zn1,374
Cd3Cr10Se20Zn2,105
Cd9Cr20Se40Zn1,137
Cd7Cr40Se80Zn13,22
Cr2Se4Zn1,129.5
Fe2O4Zn1,389.25
As2Mn2Zn1,30
Mn27O40Zn3,31
Fe2Zr1,611.5
Co2Fe8Zr5,502
Fe6Mn4Zr5,115
Gd1Zn200Zr99,7
Hf1Zn20Zr9,10.6
Hf3Zn50Zr22,4
Fe40Nb3Zr17,490
Fe20Nb3Zr7,336
Fe10Nb2Zr3,218
Mn1Ni1O4Zn1,90
Ti1Zn20Zr9,65
Ti2Zn50Zr23,40
Zn19Zr10,26.35
Zn2Zr1,21.75
B1Fe14Y2,571
B1Fe14La2,530
B1Ce2Fe14,479
B1Fe14Pr2,565
B1Fe14Nd2,588
B1Fe14Sm2,618
B1Fe14Gd2,659.5
B1Fe14Tb2,620
B1Dy2Fe14,593
B1Fe14Ho2,573
B1Er2Fe14,551
B1Fe14Tm2,540
B1Fe14Yb2,524
B1Fe14Lu2,537
B1Co14Y2,1015
B1Co14La2,956
B1Co14Pr2,992
B1Co14Nd2,1001.5
B1Co14Sm2,1030
B1Co14Gd2,1051.5
B1Co14Tb2,1034.5
C1Fe14Pr2,513
C1Fe14Nd2,532
C1Fe14Sm2,580
C1Fe14Gd2,626
C1Fe14Tb2,585
C1Dy2Fe14,555
C1Fe14Ho2,525
C1Er2Fe14,510
C1Fe14Tm2,500
C1Fe14Lu2,495
B1Er1Fe4,620
B1Fe4Tm1,610
B1Fe4Lu1,573
B400Fe400Pr111,7.5
B400Fe400Nd111,13
B400Fe400Sm113,37
B200Fe200Gd57,22
B80Fe80Tb23,16
B80Dy23Fe80,11.5
B100Fe100Ho29,6.5
B6Fe2Nd5,64
B6Fe2Gd5,57
B3Fe23Pr2,644
B3Fe23Nd2,655
B3Fe23Sm2,663
B3Fe23Gd2,689
B6Fe12Nd1,230
B7Fe31Y3,510
B1Co4Y1,382
B1Co4Pr1,456
B1Co4Nd1,458
B1Co4Sm1,510
B1Co4Gd1,513.5
B1Co4Er1,386
B4Co11Gd3,460
B3Co7Gd2,345
B2Co3Sm1,40
B2Co3Gd1,58
B2Co3Er1,20
B6Co12Y1,157
B6Co12La1,160
B6Ce1Co12,144
B6Co12Pr1,167.5
B6Co12Nd1,166.5
B6Co12Sm1,164.5
B6Co12Gd1,165.5
B6Co12Tb1,154
B6Co12Dy1,160.5
B6Co12Ho1,146
B6Co12Er1,145
B6Co12Tm1,144
B2Co2Pr1,36
B2Co2Nd1,39.5
B2Co2Sm1,14
B2Co2Gd1,41.25
B4Co4Pr1,171
B4Co4Nd1,182
B4Co4Sm1,176
Pr1Ru2,33.9
Pr1Rh2,8.25
Os2Pr1,35
Ir2Pr1,16
Pr1Pt2,7.7
Gd1Rh2,75
Gd1Ir2,89.5
Gd1Pt2,29.5
Nd1Ru2,31.5
Nd1Rh2,8.1
Ir2Nd1,11.8
Nd1Pt2,4.2
Gd5Pd2,335
Dy507Pd193,25
Ho18Pd7,10
Fe1V1,16.8
Fe17Sm2,389
Cu6Gd1,20
Al2Ho1,29
Fe1Ni1,790
Fe3Ge1,647.5
Co1Pd1,137
Ce1Fe2,234.5
Dy1Ga1,116
Ce1Cu5,7.1
Ag1Ce1,5.5
Fe3Si1,810
Eu1O1,69.5
Fe3Gd1,728
Ge1U1,94
Ge9Mn23,337
B6Eu1,12.75
Co7Gd2,775
Al2Er1,13.5
Fe1Pd1,150
Co1Ho3,10
Al1Ni3,46
Gd1Ni2,77
Mn23Pr6,448
Fe9Ti1,1033
Er2Ni7,70.5
Co2Pr1,50
Co5Gd1,1013.5
Gd2Ni17,196
Eu1Ni2,139
F3Ho1,0.53
Fe2Sc1,542
Fe1Pt1,386
Fe7Ge4,510
Gd1Mg1,119.5
Gd2In1,189.5
Cr67Te100,345
Co1Sm3,78
Mn1Ni1,662
Ni23Sb2,620
Cu1Ni1,57
Ho3Pd2,20
Co2Gd1,404
Fe2Gd1,791.5
Co1Er3,7
Mn3Pd7,5.47
Ho2Pt1,17
Ni5Pr1,0
Dy6Mn23,443
Al11Ce3,6.2
Al2Gd1,171
Li1Ni1O2,200
Ni1Pd1,11.75
B1Co2,428.5
Ce1Pt1,5.75
Fe2Nb1,85
Mn3O4,43
Al1Fe3,573
Al89Mn111,540.5
Fe1Li1O4Ti1,753
Dy3Rh2,18
Er1Ni5,9.2
Fe3Pt1,451.5
Ce2Co7,50
Al2Nd1,76
Cm1N1,117
Mn1Pt3,441.5
Dy2In1,143
Fe4N1,761
Fe2Ho1,604.5
Dy1Ni1,56
Ge2Nd1,3.6
Gd1Mn2,112.5
Pt1Tb1,56
Nd1Sn1,32
Al2Pr1,33
Gd1Y1,212.35
Eu1S1,16.5
Ce1Si2,9
Cr2Te3,182
Fe3P1,716
Cr1Ni3,340
Eu1Pd2,80
Pr1Si2,11
Co13La1,1304
In1Sm2,150
Cr1Fe1,330
Fe1Se1,417.5
Dy1Ni5,12
Gd3Rh2,51
Eu1H2,18.3
C2Fe5,521
Ce10Si17,9.95
Ag51Pr14,13
C2Eu1,22
Fe17Nd2,328
Gd1Zn2,68
Ho1Ni2,22
Dy2Fe17,370
Mn11Sb10,582.5
Gd1Ni5,31.823
Fe267O400,850
Fe2P1,216
Mg2Pr1,9.6
Eu400P267,25
Gd1Zn1,270
Er2Fe17,300
Gd9Yb1,256
Fe43Se50,450
Dy1Ni2,28.5
Mn23Yb6,406
Fe17Ge3,800
Ho1N1,18
Gd1Pd9,4
Co2Er1,36
Sn2U3,60
Er1Fe2,587
Ho1P1,5.5
Ce3Sn1,5
Co5Pr1,912
In1Tb2,175
H2Pu1,55
Pt3V1,223
Co1Tb3,79.5
Pt1Tb2,98
Ho1Os2,8.3
Ce1Ge1,9
Ni1Rh1,87.5
Co17Sm2,1192
Er1Ni3,64
Fe3Th1,425
Cm1P1,73
Cr3Te4,325
Ce4Ge7,7
Nd1Zn2,24
Co52Er9,1123
Co1S2,121.315
Fe2Hf1,595
B1Fe3,897
Dy3Pd2,27
Co1Gd3,129
Ce1Co5,653
Fe3Pd1,463
Ga1Ho1,63
Ho1Ni1,34
Er1Zn1,20
Gd7La3,257
Er1Mn2,25
Fe2O3,961
Fe3O4,858
Cr1Pt3,458
Ce1Gd4,160
Co3Gd2,320
La2Ni7,70
Er3Rh2,8
In1Pr3,62
Cd3Gd17,85
