Name,Temp,BCCmagmom_composition_average,GSmagmom_composition_average,IsBCC_composition_average,ElectricalConductivity_composition_average,BCCmagmom_max_value,ThirdIonizationEnergy_composition_average,NdValence_composition_average,GSestFCClatcnt_composition_average,ElectronAffinity_composition_average,valence_composition_average,valence_difference,GSestBCClatcnt_composition_average,SpaceGroupNumber_difference,SecondIonizationEnergy_composition_average,Electronegativity_arithmetic_average,IsHexagonal_composition_average,BCCefflatcnt_composition_average,HHIp_composition_average,ThirdIonizationEnergy_arithmetic_average,BCCmagmom_arithmetic_average
Co1Lu3,2,-0.340584962,-0.339998808,-0.94101955,-0.494201546,0.562039002,-0.616583759,-0.720669388,1.328773755,-0.254778644,-0.951424349,-1.434345439,1.328773754,-0.967920822,-0.50738129,-0.691325647,2.105894219,1.515482345,2.466337539,-0.215613202,1.080050086
Co3Lu4,2,0.12688717,0.087445259,-0.94101955,-0.138334222,0.562039002,-0.413479774,-0.261486923,0.745160172,-0.179205736,-0.951424349,-1.434345439,0.745160171,-0.967920822,-0.401423677,-0.691325647,2.105894219,0.9450119,1.838583473,-0.215613202,1.080050086
Co2Lu1,2,0.750183347,0.657370681,-0.94101955,0.336155543,0.562039002,-0.142674461,0.350756363,-0.032991273,-0.078441858,-0.951424349,-1.434345439,-0.032991274,-0.967920822,-0.260146858,-0.691325647,2.105894219,0.18438464,1.001578051,-0.215613202,1.080050086
Co3Lu1,362,0.968337008,0.856844579,-0.94101955,0.502226961,0.562039002,-0.047892601,0.565041513,-0.305344279,-0.043174501,-0.951424349,-1.434345439,-0.305344279,-0.967920822,-0.210699972,-0.691325647,2.105894219,-0.081834902,0.708626153,-0.215613202,1.080050086
Co17Lu2,1192,1.347235473,1.203299243,-0.94101955,0.790666792,0.562039002,0.116728524,0.937220984,-0.778378447,0.01807933,-0.951424349,-1.434345439,-0.778378447,-0.967920822,-0.124818537,-0.691325647,2.105894219,-0.54421621,0.199814962,-0.215613202,1.080050086
Co1Y3,2,-0.340584962,-0.342607835,-0.94101955,-0.466860519,0.562039002,-0.646303687,-0.720669388,1.655227171,-1.048294183,-0.951424349,-1.434345439,1.655227172,-0.967920822,-0.738590691,-0.779879943,2.105894219,1.802255482,2.589926621,-0.239302139,1.080050086
Co3Y4,6,0.12688717,0.085457429,-0.94101955,-0.117502964,0.562039002,-0.436123528,-0.261486923,0.993886584,-0.783789003,-0.951424349,-1.434345439,0.993886585,-0.967920822,-0.57758322,-0.779879943,2.105894219,1.163505718,1.932746583,-0.239302139,1.080050086
Co2Y1,291,0.750183347,0.656211113,-0.94101955,0.348307111,0.562039002,-0.155883317,0.350756363,0.112099134,-0.431115431,-0.951424349,-1.434345439,0.112099135,-0.967920822,-0.362906592,-0.779879943,2.105894219,0.311839367,1.056506532,-0.239302139,1.080050086
Co3Y1,301,0.968337008,0.855974903,-0.94101955,0.511340637,0.562039002,-0.057799244,0.565041513,-0.196526473,-0.30767968,-0.951424349,-1.434345439,-0.196526473,-0.967920822,-0.287769772,-0.779879943,2.105894219,0.013756144,0.749822514,-0.239302139,1.080050086
Co17Y2,1167,1.347235473,1.202933064,-0.94101955,0.794504129,0.562039002,0.112557306,0.937220984,-0.732560423,-0.093291272,-0.951424349,-1.434345439,-0.732560423,-0.967920822,-0.15726898,-0.779879943,2.105894219,-0.503967349,0.217160798,-0.239302139,1.080050086
Mn23Sm6,450,0.014158773,-0.94151844,1.518879582,-1.098846766,-0.371861304,0.059407603,-0.092592224,-0.285690612,-1.199700596,1.624690057,1.003422116,-0.285690611,-0.316527966,-0.504897873,-1.452892593,-0.895237858,-0.101941179,-0.096360204,-0.072883289,-0.068626366
Ni1Sm1,45,-0.944860935,-0.481038317,-0.94101955,-0.220791285,-1.185489496,-0.14471473,-0.077813937,0.790340625,0.284811921,-0.951424349,-1.434345439,0.790340625,-0.214348695,-0.519072704,-0.815301661,-0.895237858,0.954127851,1.010732798,0.008591477,-1.069370812
Ni2Sm1,22,-0.928132598,-0.327418022,-0.94101955,0.052618976,-1.185489496,0.032818955,0.493613129,0.159190047,0.499942801,-0.951424349,-1.434345439,0.159190048,-0.214348695,-0.297746445,-0.815301661,-0.895237858,0.333463355,0.232579319,0.008591477,-1.069370812
Ni3Sm1,85,-0.919768429,-0.250607874,-0.94101955,0.189324107,-1.185489496,0.121585797,0.779326663,-0.156385241,0.60750824,-0.951424349,-1.434345439,-0.156385241,-0.214348695,-0.187083316,-0.815301661,-0.895237858,0.023131108,-0.15649742,0.008591477,-1.069370812
Ni5Sm1,26,-0.91140426,-0.173797726,-0.94101955,0.326029237,-1.185489496,0.21035264,1.065040196,-0.47196053,0.71507368,-0.951424349,-1.434345439,-0.47196053,-0.214348695,-0.076420186,-0.815301661,-0.895237858,-0.28720114,-0.545574159,0.008591477,-1.069370812
Ni17Sm2,413.5,-0.905241189,-0.117200775,-0.94101955,0.426759334,-1.185489496,0.275759787,1.275565958,-0.70448969,0.794332425,-0.951424349,-1.434345439,-0.70448969,-0.214348695,0.005121067,-0.815301661,-0.895237858,-0.515867006,-0.832262283,0.008591477,-1.069370812
Os2Sm1,34.5,-0.995045947,-0.941899203,-0.94101955,-0.133705053,-1.255162304,-2.093293142,-0.077813937,0.738458637,0.485835858,1.755362526,1.612864005,0.738458637,-0.610293372,-2.563448923,-0.301686744,1.10551686,0.961456297,1.880433744,-1.897907208,-1.155066805
Pt2Sm1,6,-0.995045947,-0.941899203,-0.94101955,-0.368635352,-1.255162304,-2.093293142,0.779326663,0.864985857,1.830227516,-0.410066974,-0.82490355,0.864985857,-0.214348695,-0.248486621,-0.15999987,-0.895237858,1.025574498,1.880433744,-1.897907208,-1.155066805
Rh2Sm1,20,-0.611231556,-0.941899203,-0.94101955,0.733106737,-0.855519682,-0.215640548,0.493613129,0.675229952,0.626905287,0.672647776,0.393980228,0.675229952,-0.214348695,-0.308720786,-0.15999987,-0.895237858,0.875508672,1.038197038,-0.214203792,-0.663515334
