Id,Name,Tc,Orig_Name,Ref
0,Co1Lu3,2,Lu3Co,Paper_5.0
1,Co3Lu4,2,Lu4Co3,Paper_5.0
2,Co2Lu1,2,LuCo2,Paper_5.0
3,Co3Lu1,362,LuCo3,Paper_5.0
4,Co17Lu2,1192,Lu2Co17,Paper_5.0
5,Co1Y3,2,Y3Co,Paper_5.0
6,Co3Y4,2,Y4Co3,Paper_5.0
7,Co2Y1,2,YCo2,Paper_5.0
8,Co3Y1,310,YCo3,Paper_5.0
9,Co17Y2,1167,Y2Co17,Paper_5.0
10,Mn23Sm6,439,Sm6Mn23,Springer4_25
11,Ni1Sm1,45,SmNi,Springer4_25
12,Ni2Sm1,77,SmNi2,Springer4_25
13,Ni2Sm1,21,SmNi2,Springer4_25
14,Ni2Sm1,22,SmNi2,Springer4_25
15,Ni3Sm1,85,SmNi3,Springer4_25
16,Ni5Sm1,25,SmNi5,Springer4_25
17,Ni17Sm2,186,Sm2Ni17,Springer4_25
18,Ni17Sm2,641,Sm2Ni17,Springer4_25
19,Os2Sm1,34,SmOs2,Springer4_25
20,Pt2Sm1,6,SmPt2,Springer4_25
21,Rh2Sm1,20,SmRh2,Springer4_25
22,Sm1Zn1,125,SmZn,Springer4_25
23,Mn2O4Sn1,53,SnMn2O4,Springer4_25
24,Sn97Te100,0.2,Sn0.97Te,Springer4_25
27,Ca1Fe5Mo5O30Sr9,413,Sr1.8Ca0.2FeMoO6,Springer4_25
28,Fe1Mo1O6Sr2,422,Sr2FeMoO6,Springer4_25
29,Fe12O19Sr1,750,SrFe12O19,Springer4_25
30,La7Mn10O30Sr3,363,Sr0.3La0.7MnO3,Springer4_25
31,La7Mn10O30Sr3,393,Sr0.3La0.7MnO3,Springer4_25
32,La75Mn150O499Sr125,130,Sr2.5La1.5Mn3O9.98,Springer4_25
33,O3Ru1Sr1,160,SrRuO3,Springer4_25
34,O6Pb1Ru2Sr1,0,Sr0.5Pb0.5RuO3,Springer4_25
35,O6Pb1Ru2Sr1,0,Sr0.5Pb0.5RuO3,Springer4_25
36,O3Ru1Sr1,160,SrRuO3,Springer4_25
37,O3Ru1Sr1,160,SrRuO3,Springer4_25
38,O3Ru1Sr1,164,SrRuO3,Springer4_25
39,B4Mn2Ta1,780,TaMn2B4,Springer4_25
40,Tb1,210,Tb,Springer4_25
41,Tb1,218,Tb,Springer4_25
42,Tb1,218,Tb,Springer4_25
43,Tb1,223,Tb,Springer4_25
44,Tb1,219,Tb,Springer4_25
45,Tb1,222,Tb,Springer4_25
46,Tb1,235,Tb,Springer4_25
47,Al2Tb1,114,TbAl2,Springer4_25
48,Al2Tb1,121,TbAl2,Springer4_25
49,Al2Tb1,111,TbAl2,Springer4_25
50,Al2Tb3,190,Tb3Al2,Springer4_25
51,C1Tb2,266,Tb2C,Springer4_25
52,Cd5Tb6,185,Tb1.2Cd,Springer4_25
53,Co2Tb1,256,TbCo2,Springer4_25
54,Co2Tb1,237,TbCo2,Springer4_25
55,Co2Tb1,256,TbCo2,Springer4_25
56,Co2Tb1,245,TbCo2,Springer4_25
57,Co3Tb1,506,TbCo3,Springer4_25
58,Co5Tb1,980,TbCo5,Springer4_25
59,Co7Tb2,717,Tb2Co7,Springer4_25
60,Co7Tb2,693,Tb2Co7,Springer4_25
61,Co17Tb2,1180,Tb2Co17,Springer4_25
62,Co17Tb2,1194,Tb2Co17,Springer4_25
63,Cr1O7Sb1Tb2,15,Tb2CrSbO7,Springer4_25
64,Cu1Tb1,80,TbCu,Springer4_25
