wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Ag4Ce3Ge4	Ag;Ce;Ge;	4;3;4;	10 K;
Ag51Pr14	Ag;Pr;	51;14;	13 K;
AgAl3Ce	Ag;Al;Ce;	1;3;1;	3.2 K;3 K;3 K;
AgAuCd2	Ag;Au;Cd;	1;1;2;	310 K;
AgCe	Ag;Ce;	1;1;	9 K;7.5 K;5.5 K;9 K;5.3 K;6 K;5.5 K;5 K;5.5 K;
AgCeSb2	Ag;Ce;Sb;	1;1;2;	9.8 K;9.6 K;
AgF3Ni	Ag;F;Ni;	1;3;1;	197 K;
AgI	Ag;I;	1;1;	538 K;533 K;
AgSb2U	Ag;Sb;U;	1;2;1;	92 K;
Al0.2Fe1.8Ti	Al;Fe;Ti;	0.2;1.8;1;	43 K;
Al0.2Fe1.8Y	Al;Fe;Y;	0.2;1.8;1;	381 K;
Al0.4Fe1.6Ti	Al;Fe;Ti;	0.4;1.6;1;	151 K;
Al0.4Fe1.6Y	Al;Fe;Y;	0.4;1.6;1;	320 K;
Al0.5Co12.5La	Al;Co;La;	0.5;12.5;1;	1214 K;
Al0.5Co2FeSi0.5	Al;Co;Fe;Si;	0.5;2;1;0.5;	1107 K;
Al0.5Co2MnSi0.5	Al;Co;Mn;Si;	0.5;2;1;0.5;	931 K;
Al0.6Fe1.4Ti	Al;Fe;Ti;	0.6;1.4;1;	143 K;
Al0.6Fe1.4Y	Al;Fe;Y;	0.6;1.4;1;	72 K;
Al0.75CoSn0.25U	Al;Co;Sn;U;	0.75;1;0.25;1;	5.5 K;
Al0.89Mn1.11	Al;Mn;	0.89;1.11;	677 K;404 K;
Al0.8Fe1.2Ti	Al;Fe;Ti;	0.8;1.2;1;	73 K;
Al0.8Fe1.2Y	Al;Fe;Y;	0.8;1.2;1;	49 K;
Al0.9CeSi1.1	Al;Ce;Si;	0.9;1;1.1;	11 K;
Al1.3Fe0.7Y	Al;Fe;Y;	1.3;0.7;1;	19 K;
Al1.5Co11.5La	Al;Co;La;	1.5;11.5;1;	1044 K;
Al1.5Co15.5Pr2	Al;Co;Pr;	1.5;15.5;2;	976 K;
Al10Fe2Tb	Al;Fe;Tb;	10;2;1;	17.6 K;
Al10Fe7Ho2	Al;Fe;Ho;	10;7;2;	170 K;
Al10Fe7Y2	Al;Fe;Y;	10;7;2;	112 K;
Al11Ce0.15La2.85	Al;Ce;La;	11;0.15;2.85;	1.3 K;
Al11Ce2.1La0.9	Al;Ce;La;	11;2.1;0.9;	3.7 K;
Al11Ce2.7La0.3	Al;Ce;La;	11;2.7;0.3;	5.4 K;
Al11Ce3	Al;Ce;	11;3;	6.3 K;6 K;6.2 K;6.3 K;6.2 K;6.2 K;6.2 K;
Al2.5Co10.5La	Al;Co;La;	2.5;10.5;1;	843 K;
Al20Cr2Nd	Al;Cr;Nd;	20;2;1;	1.7 K;
Al20Fe2Gd	Al;Fe;Gd;	20;2;1;	86 K;
Al20NdRu2	Al;Nd;Ru;	20;1;2;	1.9 K;
Al20NdV2	Al;Nd;V;	20;1;2;	1.8 K;1.81 K;
Al2BCeRu2	Al;B;Ce;Ru;	2;1;1;2;	13 K;13 K;12.8 K;
Al2CFe15Y2	Al;C;Fe;Y;	2;1;15;2;	501 K;501 K;
Al2Ce	Al;Ce;	2;1;	8 K;
Al2Ce2Co15	Al;Ce;Co;	2;2;15;	751 K;
